,Pressure,Humidity,TrackTemp,WindSpeed,Rainfall
0,1008.9,87.2,14.5,0.5,True
1,1008.9,87.0,14.5,0.5,True
2,1008.8,86.7,14.7,0.8,False
3,1008.8,86.5,14.7,0.5,False
4,1008.9,86.6,14.7,0.6,False
5,1008.9,85.7,14.8,0.7,False
6,1009.0,85.6,14.8,0.4,True
7,1008.9,85.7,14.9,0.3,True
8,1008.8,85.4,14.9,0.5,False
9,1008.8,85.1,14.8,0.7,False
10,1008.9,85.1,14.8,0.5,False
11,1008.8,84.8,14.9,0.3,False
12,1008.9,84.4,15.0,0.4,False
13,1008.9,84.2,15.1,0.3,False
14,1008.9,84.2,15.1,0.0,False
15,1008.8,83.5,15.2,0.7,True
16,1008.8,84.2,15.2,0.6,True
17,1008.8,83.8,15.2,0.6,False
18,1008.8,83.8,15.2,0.7,False
19,1008.8,83.1,15.2,0.6,False
20,1008.8,83.3,15.2,0.6,False
21,1008.7,83.5,15.4,0.7,False
22,1008.7,83.4,15.5,0.9,False
23,1008.7,83.5,15.5,0.7,False
24,1008.8,84.1,15.7,0.5,False
25,1008.8,84.0,15.8,0.9,False
26,1008.7,82.9,15.8,0.5,False
27,1008.7,83.7,15.7,0.5,False
28,1008.6,83.0,15.8,0.3,False
29,1008.6,83.2,15.8,1.0,False
30,1008.7,83.2,15.9,1.3,False
31,1008.6,82.5,15.8,1.2,False
32,1008.7,83.0,15.8,1.2,False
33,1008.7,83.1,15.8,1.2,False
34,1008.6,82.9,15.7,1.8,False
35,1008.6,82.7,15.7,1.2,False
36,1008.6,81.7,15.7,1.2,False
37,1008.7,81.9,15.7,1.5,False
38,1008.6,82.4,15.7,1.2,False
39,1008.6,81.8,15.6,1.1,False
40,1008.7,81.8,15.6,0.9,False
41,1008.6,81.6,15.6,1.1,False
42,1008.6,81.3,15.6,1.7,False
43,1008.6,81.3,15.6,0.8,False
44,1008.6,81.2,15.7,1.0,False
45,1008.6,81.6,15.8,1.4,False
46,1008.6,81.2,15.9,1.1,False
47,1008.6,81.8,15.9,1.3,False
48,1008.5,81.2,15.7,1.6,False
49,1008.6,81.1,15.7,1.6,False
50,1008.5,81.9,15.9,1.6,False
51,1008.6,81.9,16.1,1.2,False
52,1008.5,81.6,16.1,1.1,False
53,1008.5,81.9,16.1,1.1,False
54,1008.6,81.6,16.0,1.2,False
55,1008.5,80.7,15.9,0.9,False
56,1008.4,80.2,15.8,1.0,False
57,1008.5,80.5,15.9,0.6,False
58,1008.4,80.0,15.9,1.2,False
59,1008.5,80.1,15.9,0.9,False
60,1008.5,79.8,16.0,1.1,False
61,1008.4,79.6,16.0,0.8,False
62,1008.5,79.7,16.1,1.4,False
63,1008.4,79.0,16.1,0.9,False
64,1008.5,79.0,16.2,1.2,False
65,1008.5,78.7,16.3,1.2,False
66,1008.5,78.8,16.4,0.8,False
67,1008.4,78.4,16.6,1.1,False
68,1008.4,77.5,16.8,1.1,False
69,1008.4,77.3,16.9,0.8,False
70,1008.5,77.5,16.9,0.9,False
71,1008.4,77.6,16.5,0.4,False
72,1008.4,78.1,16.5,0.6,False
73,1008.4,77.7,16.4,0.8,False
74,1008.5,78.5,16.4,0.9,False
75,1008.5,78.0,16.3,0.6,False
76,1008.4,77.7,16.1,0.9,False
77,1008.4,77.8,16.1,1.0,False
78,1008.5,78.5,16.1,0.7,False
79,1008.4,78.4,16.1,1.3,False
80,1008.4,78.5,15.9,1.0,False
81,1008.4,77.8,15.9,1.3,False
82,1008.4,77.3,15.8,1.0,False
83,1008.4,76.5,15.7,1.8,False
84,1008.4,75.9,15.7,0.8,False
85,1008.3,76.2,15.7,0.8,False
86,1008.4,76.4,15.6,0.7,False
87,1008.4,76.1,15.6,1.0,False
88,1008.4,75.6,15.5,0.7,False
89,1008.3,76.0,15.5,0.8,False
90,1008.3,75.9,15.6,0.8,False
91,1008.3,75.8,15.6,0.8,False
92,1008.3,75.9,15.6,1.0,False
93,1008.3,75.9,15.6,1.0,False
94,1008.3,75.4,15.3,0.8,False
95,1008.3,75.5,15.3,1.0,False
96,1008.3,75.7,15.3,1.6,False
97,1008.3,75.3,15.3,1.9,False
98,1008.3,76.2,14.8,2.1,False
99,1008.3,76.5,14.8,2.0,False
100,1008.4,76.8,14.6,2.0,False
101,1008.4,76.9,14.5,2.5,False
102,1008.3,77.7,14.5,1.2,False
103,1008.3,77.7,14.5,1.2,False
104,1008.3,77.8,14.5,1.8,False
105,1008.3,77.8,14.5,1.8,False
106,1008.3,78.1,14.4,0.6,False
107,1008.2,78.2,14.3,1.5,False
108,1008.2,78.2,14.3,1.5,False
109,1008.3,78.0,14.3,1.7,False
110,1008.3,78.2,14.1,0.5,False
111,1008.3,78.2,14.1,0.5,False
112,1008.3,78.2,14.1,0.7,False
113,1008.3,78.2,14.1,0.7,False
114,1008.3,78.3,14.0,2.0,False
115,1008.4,78.1,14.0,2.1,False
116,1008.3,77.9,13.9,2.7,False
